序号,子系统,模块,工作项编号,工作项名称,技术要点/交付内容,类型,涉及接口,优先级,实施阶段,需求分析(人天),方案设计(人天),开发(人天),测试(人天),部署上线(人天),合计(人天),负责人,计划开始,计划结束,状态,备注
1,招采平台,P1业务流程优化,P1-01,分阶段评标、分标段终止,工作流引擎新增阶段化流程配置参数；前台开标阶段选择分阶段/不分阶段（技术评标、商务评标）；多标段独立启停、终止、归档（含评分退回）；技术/商务评标均支持废标操作,新增,无,高,阶段二,2.0,20.0,30.0,10.0,1.0,63.0,,,,未开始,
2,招采平台,P1业务流程优化,P1-02,审批流程功能升级,升级审批流转逻辑：支持直退/退回逐级审批、修改后返回原驳回节点；自定义分支审批条件、多人会签/抢单；下一节点审批前撤回、退回流程归档；采购方案保存草稿及删除,优化,无,高,阶段二,3.0,8.0,8.0,5.0,1.0,25.0,,,,未开始,
3,招采平台,P1业务流程优化,P1-03,扩充特殊报价模式,重构报价数据录入与计算逻辑；负数/费率/折扣率三种报价格式；多品类物料差异化权重核算；AI自动测算商务报价分值回填评标表单；可配置报价模板；询比价最高限价单价（含税）限制；评分一键重算,新增,财务共享+履约管理,高,阶段二,5.0,15.0,15.0,15.0,1.0,51.0,,,,未开始,
4,招采平台,P1业务流程优化,P1-04,评标功能优化,专家查看投标文件；评委匿名化处理（显示专家编号）；汇总得分与评分表顺序一致、按序排序；评标报告自动生成（模板按企业/招标类型配置），对接电子签章实现评委在线确认签字,优化,电子签章,高,阶段二,3.0,20.0,12.0,15.0,1.0,51.0,,,,未开始,
5,招采平台,P1业务流程优化,P1-05,定标公示功能重构,重构公示数量限制底层代码（1-3家/单一来源1家/不限灵活配置）；新增采购单位、中标供应商关联字段（支持一对多）；发布中标公示按评分排名自动填充；定标调取供应商异常预警AI风险提示,优化,履约管理,中,阶段二,3.0,10.0,10.0,10.0,1.0,34.0,,,,未开始,
6,招采平台,P1业务流程优化,P1-06,保证金线上自动退费,深化与财务共享平台联动，搭建保证金缴纳-确认-原路退回全链路自动化；系统自动匹配中标结果、项目状态；自动触发退费流程；校验退费账户与原缴费账户一致性；资金流转反向溯源台账,新增,财务共享,高,阶段二,4.0,10.0,10.0,10.0,1.0,35.0,,,,未开始,
7,招采平台,P2供应商管理,P2-01,供应商多子账号权限体系,子账号开通/作废、权限配置；供应商标签属性及业务权限前台维护；多标签绑定配置，实现战略/集采供应商差异化管控,新增,无,中,阶段二,3.0,10.0,8.0,10.0,1.0,32.0,,,,未开始,
8,招采平台,P2供应商管理,P2-02,供应商入网功能优化,统一平台运营商入网审核，一次入网服务多个二级集团；增加AI入网审核结果记录及确认功能,优化,无,中,阶段二,2.0,10.0,12.0,10.0,1.0,35.0,,,,未开始,
9,招采平台,P2供应商管理,P2-03,入围标准规则模板,搭建集团统一入围标准规则模板；固化纳税、社保、资质、供应商风险等底线审核项（纳税/社保OCR识别自动审核）；二级集团可增设细化审核项；不符合底线标准自动拦截,新增,无,高,阶段二,4.0,15.0,10.0,10.0,1.0,40.0,,,,未开始,
10,招采平台,P2供应商管理,P2-04,供应商评价及年审功能,自定义评价维度（采购环节/合同执行/质保期效果三大一级指标+二级指标）；分值权重自定义分配、评价频次配置；以供应商为基准自动汇总评分评级（SRM）；不良行为分级录入及审批；工作流固化年审流程；年审项模板设置,新增,无,中,阶段二,5.0,10.0,12.0,10.0,1.0,38.0,,,,未开始,
11,招采平台,P2供应商管理,P2-05,黑名单管控强化,新增黑名单状态供应商修改基础信息限制；审核时增加提示项,优化,无,高,阶段二,1.0,5.0,3.0,5.0,1.0,15.0,,,,未开始,
12,招采平台,P2供应商管理,P2-06,供应商风险管控（天眼查对接）,打通天眼查数据接口自动对接外部工商数据；入围审核自动拉取失信被执行人、企业经营状态等并留存，失信/已注销不可入围；开标环节自动拉取持股股东、实际控制人；配合围串标AI智能体审核预警,新增,天眼查,中,阶段二,4.0,10.0,10.0,10.0,1.0,35.0,,,,未开始,
