URL上下文	前端仓库	依据菜单数	判定
bidEvaluationt	scm-vue-all-bidevaluation	3	精确路由佐证
configMgt	scm-vue-all-configmgt	3	精确路由佐证
contractAgreementMgt	scm-vue-all-contractagreementmgt	3	精确路由佐证
enterprise	scm-vue-all-emp	25	精确路由佐证
expertMgt	scm-vue-all/scm-vue-expertMgt	0	按仓名猜（无精确路由佐证）
ismp	scm-vue-all-ismp	2	精确路由佐证
mdm	scm-vue-all-mdm	4	精确路由佐证
opm	scm-vue-all-opm	1	精确路由佐证
planMgt	scm-vue-all-plan	2	精确路由佐证
platform	scm-vue-all-platform	12	精确路由佐证
procurementScheme	scm-vue-all-procurementscheme	27	精确路由佐证
productMgt	scm-vue-all-productmgt	2	精确路由佐证
purchase	scm-vue-all-order-purchase	1	精确路由佐证
purchaseSupplier	scm-vue-all-purchasemgt-supplier	1	精确路由佐证
supplierCenter	scm-vue-all/scm-vue-order-supplier	1	精确路由佐证
supplierMgt	scm-vue-all-vmp	7	精确路由佐证
supplierworkbench	scm-vue-all-supplier-workbench	0	按仓名猜（无精确路由佐证）
ubm	scm-vue-all-ubm	11	精确路由佐证
userSupplier	scm-vue-all/scm-vue-user-supplier	2	精确路由佐证
workbench	scm-vue-all-workbench	0	按仓名猜（无精确路由佐证）
